automaton,states,transitions,letters,num_constraints,num_spurious_constraints,num_nbp_constraints,num_true_constraints,num_unknown_constraints
dsm-manual@commons-codec@org.apache.commons.codec.binary.Hex,27,157,8,0,0,0,0,0
dsm-randoop@commons-validator@org.apache.commons.validator.routines.AbstractCalendarValidator,29,105,9,0,0,0,0,0
dsm-randoop@commons-codec@org.apache.commons.codec.binary.Base16InputStream,32,325,10,0,0,0,0,0
dsm-manual@commons-fileupload@org.apache.commons.fileupload2.MultipartStreamItemInputStream,33,99,4,0,0,0,0,0
dsm-manual@joda-convert@org.joda.convert.StringConvert,34,519,25,38,27,8,0,3
dsm-manual@commons-codec@org.apache.commons.codec.binary.BaseNCodec,35,233,16,0,0,0,0,0
dsm-randoop@commons-fileupload@org.apache.commons.fileupload2.MultipartStream,38,370,13,0,0,0,0,0
dsm-manual@commons-exec@org.apache.commons.exec.PumpStreamHandler,39,186,6,3,3,0,0,0
dice@commons-codec@org.apache.commons.codec.net.RFC1522Codec,40,48,5,0,0,0,0,0
dice@commons-codec@org.apache.commons.codec.net.QCodec,43,95,16,13,8,4,0,0
dsm-randoop@commons-validator@org.apache.commons.validator.FormSet,44,725,17,0,0,0,0,0
dice@kamranzafar.jtar@org.kamranzafar.jtar.TarOutputStream,45,55,10,20,10,3,0,7
dsm-manual@commons-validator@org.apache.commons.validator.Field,52,683,25,7,7,0,0,0
dice@commons-codec@org.apache.commons.codec.net.BCodec,53,96,16,16,11,5,0,0
dsm-randoop@commons-validator@org.apache.commons.validator.routines.DomainValidator,59,369,9,4,0,4,0,0
dsm-randoop@commons-validator@org.apache.commons.validator.ValidatorResources,63,836,18,2,0,2,0,0
dice@commons-codec@org.apache.commons.codec.net.URLCodec,71,153,12,0,0,0,0,0
dice@commons-exec@org.apache.commons.exec.ExecuteWatchdog,94,122,12,4,1,2,0,0
dice@commons-validator@org.apache.commons.validator.routines.CalendarValidator,96,139,30,82,56,26,0,0
dsm-randoop@commons-codec@org.apache.commons.codec.binary.BaseNCodec,106,907,13,0,0,0,0,0
dsm-randoop@commons-validator@org.apache.commons.validator.routines.TimeValidator,133,2983,27,0,0,0,0,0
dice@commons-validator@org.apache.commons.validator.routines.DateValidator,140,186,23,41,33,8,0,0
dice@commons-exec@org.apache.commons.exec.InputStreamPumper,143,145,3,2,0,0,0,0
dice@commons-codec@org.apache.commons.codec.language.DaitchMokotoffSoundex,143,158,7,1,0,1,0,0
dice@commons-validator@org.apache.commons.validator.routines.TimeValidator,155,206,22,12,9,0,0,2
dice@commons-exec@org.apache.commons.exec.ExecuteStreamHandler,169,169,5,14,8,0,0,0
dice@commons-exec@org.apache.commons.exec.LogOutputStreamByteArrayOutputStreamX,181,182,4,4,4,0,0,0
dice@commons-validator@org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit,187,189,2,0,0,0,0,0
dice@joda-convert@org.joda.convert.AnnotationStringConverterFactory,187,198,6,8,5,3,0,0
dsm-randoop@commons-exec@org.apache.commons.exec.CommandLine,211,2727,14,1,0,1,0,0
dsm-randoop@commons-validator@org.apache.commons.validator.routines.CurrencyValidator,211,4385,21,0,0,0,0,0
dsm-randoop@commons-exec@org.apache.commons.exec.PumpStreamHandler,218,2772,13,4,0,4,0,0
dice@commons-codec@org.apache.commons.codec.digest.MurmurHash3IncrementalHash32,224,228,4,0,0,0,0,0
dice@commons-codec@org.apache.commons.codec.language.Nysiis,234,248,6,0,0,0,0,0
dice@joda-convert@org.joda.convert.StringConverter,252,253,2,0,0,0,0,0
TOTAL,4505,23341,936,1810,1274,367,3,142
AVG,45.05,233.41,9.36,18.10,12.74,3.67,.03,1.42
MIN,1,2,1,0,0,0,0,0
MAX,252,4385,30,374,283,78,2,53
